"username","description"
"WFLANews","Tampa Bay's latest news and information. Listen anywhere on @iheartradio."
"techtampabay","Tampa Bay's Tech Community Radically Connected: CEO @jillp5, Past Chair @jwarnke, Chairs: Jeremy Wilson and @AndeJ22"
"FloridaIssues",""
"LeChatNoire4","#VOTE BLUE 2022 :water wave::flag: United States::water wave: #BuyARepublicanToday! no DM’s"
"SethPlatt","Creator Collector Cultivator Art Web3 ENS AI Strategy Consultant Actor Photography Video Design NYU Tisch SAGAFTRA EnviroMBA Disrupter Fr. Tech Lobbyist"
"eco_voice","A non-partisan, independent, volunteer run org, which endeavors to communicate multiple positions on important environmental issues effecting south Florida."
"SnookNgamefish",""
"WKRGEd","Chief Meteorologist at @WKRG in Mobile, AL. CBM #761, Weather nerd, avid bowler, @FloridaState alum, and so much more!!! Formerly: WFLA, WJBF, KTKA"
"HappilySarasota",""
"shameka813",""
"Corn4Harvick","*Flo-Grown* :flag: United States: :flag: United States: Jesus sent me back to straighten you brain-dead motherfuckers out... :face with rolling eyes::face with rolling eyes::face with rolling eyes:    """"Nuremberg Code""""  """"Clown World""""    WTF"
"memorabiliaddy","Healthcare Professional * Dad to Two * MSU Alumnus * Autograph Collector * KCCO * Snapchat and Instagram: memorabiliaddy *GOGREEN * V4MSU"
"JessDoudrick","Comm Director @american_heart covering NE Ohio. Retired anchor/reporter for @mysuncoast in #Sarasota & @jet24fox66 in #Erie. York, PA native. @eagles fan."
"SMHCS","Since 1925, we’ve delivered high-quality healthcare. SMH has grown from 32-beds to a 2 hospital, full-service health system - by & for the community:red heart:"
"BenjaminLitkePA","Licensed Florida & Michigan Real Estate Professional, providing outstanding service on Siesta Key in Sarasota and Oakland County, Michigan."
"savethemanatee","Official Twitter Account for the Save the Manatee Club. Our mission is to protect manatees and their aquatic habitats for future generations."
"suzieq5695",":paw prints::dog face::police car::oncoming police car::high-heeled shoe::flag: Canada:"
"wildlifer22","Vegan;wildlife rehabilitator. Writer;fighter for those who have no voice. Lover of nature + all wild things! “Find the beauty in every day.”"
"Nelbell305","One of Jesus Christ's Lions...enlightening my pride. #Patriot :flag: U.S. Outlying Islands: #BoriCuba :flag: Puerto Rico::flag: Cuba: #HEATculture   #305Native #ExFelon4TheBlue #NPA #Unpatented #GearHead"
"kingfrook","#ccp #DrPoliceStateUSA 

""""Messianic and a trifle too satanic""""- Monkey Man
 If God is with the GOP then I'm with the other team."
"Tampa_Live","Enjoy the Tampa news."
"amichamber","Emerald waters, stunning sunsets, and a relaxed atmosphere makes us a must for your next destination!
Share all your local photos and videos with #MyAnnaMaria"
"DjAeppli","Pittsburgh born.   Philly raised. Tampa citizen. 102.5 the Bone all day listener."
"jacqui_eckert","Finding my way in this world with kindness,lots of laughter,love,and music,with an open heart and mind!"
"bradentonherald","The leading source for local news, sports and information in Bradenton, Florida, Lakewood Ranch, Palmetto, Ellenton and all of Manatee County."
"JDeleon1012","Investigative multi-media journalist at @abcactionnews.

Formerly @BradentonHerald and @BHnewsguild.

Confidential tips: JessDeLeon@protonmail.com"
"mannahhorse","Reporter for @pbpost. via @BradentonHerald and @UFJSchool. Co-chair @PBNewsGuild. Say hi :waving hand:: hmorse@pbpost.com"
"BrandyCoffey","Brandy believes the basic tenets of service should be knowledge, honesty, loyalty, and trust. 
(941) 404-4737"
"Hydroviv_h2o","Water Science Company Run By A Ph.D. Chemist & Congressional Expert Witness | Commentary on #waterquality #environment #policy  #waterfiltration #cleanwater"
"SamPutterman","Covering misinformation @PolitiFact. Former: @Bradentonherald @TB_Times. Fan of dogs, coffee, news & dogs. Tips: sputterman@poynter.org"
"vdeanfla","Freelance writer and editor for @HeraldTribune, Bluegrass Unlimited and @RoughReadymedia. Loves news, bluegrass music, Tampa Bay Rays. Florida halfback."
"carolwhitmore","personal page/ not government page"
"danielle_mae_",":hot beverage:️ caffeinated :open book: bibliophile :world map: explorer :woman cook: light skin tone: foodie :scroll: historian :flag: United States:"
"HeraldTribune","The Sarasota Herald-Tribune is Southwest Florida's source for news, commentary and more."
"NicRodriguez","Publicist/Communications Specialist. Former reporter with bylines in @USATODAY @WashingtonPost @Newsweek @HeraldTribune @TCPalm. Michael Jackson fan."
"KobeeManatee","Hi!  I'm a West Indian manatee and I'm also called Florida Manatee! Get more updates here: https://t.co/rphtIgOlyh"
"DanHenryWeather","Meteorologist at Metro Wx Service. M.S. Applied Meteorology @msstate. Seen/heard: @FloridaStorms, @SNNTV, @NPR Not @Fox4Weather but he seems nice"
"oceandog",""
"islandsunfla","Once your feet hit the beaches, you chart your own course. Rentals for your dream holiday on Anna Maria Island-365 days of Beautiful Sunshine! 289-660-2331"
"tonyfor74","United States Air Force JAG, father, attorney, Venetian and candidate for the Florida House of Representatives, District 74."
"kevinmgriffith","Husband. Dad. RPCV. Sarasotan."
"LohrKrista",""
"keepdemocracy","SAFE is a nonpartisan, nonprofit grassroots organization promoting election reform and campaign finance reform. In 2018 we focused on single member districts."
"cantescape2020","#TheResistance #BLM, #codifyRoe #ERA Now! #lockTrumpup #expand thecourt #ROEVEMBER"
"EmilyWunderlich","copy editor @TB_Times :sun: ebook apologist. more than the coffee stains on my clothes. she/her."
"RBallogg","writing || curating the curious || news reporter and feature writer @BradentonHerald || Tips: rballogg@bradenton.com"
