"","text","possibly_sensitive","conversation_id","lang","in_reply_to_user_id","id","reply_settings","created_at.x","author_id","location","created_at.y","description","protected","username","profile_image_url","verified","name","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","public_metrics.y_media_count","text_with_display_links","pinned_tweet_id","url"
"1","@conservativ3ant Ant, it’s pretty thick here in Longboat Key and I am telling you my throat thought it felt red tide so hmmmmmmm",FALSE,"1873702455449620585","en","1516072413854941192","1873710804777996561","everyone",2024-12-30 12:40:42,"22834830","Longboat Key, FL","2009-03-04T21:10:44.000Z","And we know that in ALL things God works for the good of those who love Him, who have been called according to His purpose. Romans 8:28",FALSE,"JulieRHudson","https://pbs.twimg.com/profile_images/1625664600367669254/R-h5C8Jt_normal.jpg",FALSE,"Julie Hudson",0,1,0,0,0,75,281,1288,8963,2,4229,290,"@conservativ3ant Ant, it’s pretty thick here in Longboat Key and I am telling you my throat thought it felt red tide so hmmmmmmm",NA,NA
"2","Sewage discharges continue in Bradenton! “At a time when red tide levels recently increased in Anna Maria Island waters and a Bradenton man recently lost his leg to flesh eating bacteria (vibrio vulnificus) after wade fishing in Sarasota Bay, …

https://t.co/eYmBRdCGBA",FALSE,"1863960546619384264","en",NA,"1863960546619384264","everyone",2024-12-03 14:56:39,"785111822600986624","Tampa Bay, FL","2016-10-09T13:37:00.000Z","",FALSE,"mariamar625","https://pbs.twimg.com/profile_images/1462879821680234500/3F0UB4qY_normal.jpg",FALSE,"Laura Marie 🟧",0,0,0,0,0,17,920,4932,46060,1,155614,3758,"Sewage discharges continue in Bradenton! “At a time when red tide levels recently increased in Anna Maria Island waters and a Bradenton man recently lost his leg to flesh eating bacteria (vibrio vulnificus) after wade fishing in Sarasota Bay, …

https://t.co/eYmBRdCGBA","1672541381447802880",NA
"3","Red Tide warning for popular Bradenton beach area https://t.co/FZZFNtDu1d",FALSE,"1862173306872365136","en",NA,"1862173306872365136","everyone",2024-11-28 16:34:48,"1452948739648262151","44708","2021-10-26T10:43:50.000Z","",FALSE,"cmf52222","https://pbs.twimg.com/profile_images/1845432085701419014/5HbiAdt7_normal.jpg",FALSE,"Christopher Florea",0,0,0,0,0,4,103,168,59,0,93,34,"Red Tide warning for popular Bradenton beach area https://t.co/FZZFNtDu1d",NA,NA
"4","⚠️Red tide: The Florida Department of Health in Manatee County detected medium levels of red tide at Bradenton Beach, Coquina Beach South Boat Ramp
Rod and Reel Pier on Anna Maria Island. #Poison Help 1-800-222-1222. . https   www abcactionnews com news region sarasota manatee red tide detected in popular manatee county beaches health officials report",FALSE,"1861092736465805596","en",NA,"1861092736465805596","everyone",2024-11-25 17:01:00,"236390420","Florida, USA","2011-01-10T13:44:51.000Z","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",FALSE,"FloridaPoison","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg",FALSE,"FL Poison Control",0,0,0,0,0,37,1203,426,10475,21,2598,NA,"⚠️Red tide: The Florida Department of Health in Manatee County detected medium levels of red tide at Bradenton Beach, Coquina Beach South Boat Ramp
Rod and Reel Pier on Anna Maria Island. #Poison Help 1-800-222-1222. https://t.co/syQbAbOX6u",NA,"https://t.co/JPynmUPoh3"
"5","RT @FloridaIssues: DOH-Manatee Issues Red Tide Health Alerts for Two Bradenton Beach Locations -  #GoogleAlerts. https   thebradentontimes com stories doh manatee issues red tide health alerts for two bradenton beach locations 116822",FALSE,"1860464011793285460","en",NA,"1860464011793285460","everyone",2024-11-23 23:22:40,"1859631862060064768","Orlando, Florida","2024-11-21T16:16:17.000Z","USA 1st Muslim Patriots are driven to foster understanding, unity & to highlight/spread awarness about the issues affecting all American Citizens!",FALSE,"USA1stMuslims","https://pbs.twimg.com/profile_images/1859643260605530112/UUbQCk5G_normal.jpg",FALSE,"USA1stMuslimPatriots",1,0,0,0,0,0,13,598,645,0,305,NA,"RT @FloridaIssues: DOH-Manatee Issues Red Tide Health Alerts for Two Bradenton Beach Locations - https://t.co/YVx7lFzPLU #GoogleAlerts",NA,NA
"6","DOH-Manatee Issues Red Tide Health Alerts for Two Bradenton Beach Locations -  #GoogleAlerts. https   thebradentontimes com stories doh manatee issues red tide health alerts for two bradenton beach locations 116822",FALSE,"1860462660438901053","en",NA,"1860462660438901053","everyone",2024-11-23 23:17:18,"534263140",NA,"2012-03-23T12:49:26.000Z","",FALSE,"FloridaIssues","https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg",FALSE,"Florida Issues",1,0,1,0,0,32,1043,11,160326,35,1338,NA,"DOH-Manatee Issues Red Tide Health Alerts for Two Bradenton Beach Locations - https://t.co/YVx7lFzPLU #GoogleAlerts",NA,NA
"7","Red tide alert issued for 2 Bradenton beaches -  #GoogleAlerts. https   www aol com red tide alert issued 2 214739926 html",FALSE,"1860302121192636677","en",NA,"1860302121192636677","everyone",2024-11-23 12:39:23,"534263140",NA,"2012-03-23T12:49:26.000Z","",FALSE,"FloridaIssues","https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg",FALSE,"Florida Issues",0,0,2,1,0,31,1043,11,160326,35,1338,NA,"Red tide alert issued for 2 Bradenton beaches - https://t.co/0ZgONJaddf #GoogleAlerts",NA,NA
"8","FWC #RedTide Status Update for November 22, 2024



#sarasotafl #venicefl #sarasotacounty #englewoodfl #manateecounty. https   thesuncoastnews com 2024 11 fwc red tide status update for november 22 2024",FALSE,"1860253787589394937","en",NA,"1860253787589394937","everyone",2024-11-23 09:27:19,"747552338","Sarasota, Florida","2012-08-09T16:54:44.000Z","Covering local Suncoast news and some national news. Alumna @UofMaryland, 100% disabled Navy Veteran. Bringing back Truth In Media!",FALSE,"TheSuncoastNews","https://pbs.twimg.com/profile_images/1860106724021006336/RZx7yJkb_normal.jpg",FALSE,"Francesco Abbruzzino - The Scoop",0,0,0,0,0,14,1334,406,163208,55,1471,NA,"FWC #RedTide Status Update for November 22, 2024

https://t.co/vOP9bu3yN2

#sarasotafl #venicefl #sarasotacounty #englewoodfl #manateecounty",NA,"https://t.co/ZhRKxESlva"
"9","Health officials said anyone in or around these areas should exercise caution.  . https   www abcactionnews com news region sarasota manatee red tide detected in popular manatee county beaches health officials report",FALSE,"1860126169493880983","en",NA,"1860126169493880983","everyone",2024-11-23 01:00:12,"15138087","Tampa","2008-06-16T20:08:51.000Z","ABC Action News is Taking Action For You! Award-winning Breaking News coverage in the Tampa Bay area",FALSE,"abcactionnews","https://pbs.twimg.com/profile_images/875429460807438337/4yx0qIuz_normal.jpg",FALSE,"ABC Action News",0,0,0,0,0,748,180667,630,202011,1592,4870,NA,"Health officials said anyone in or around these areas should exercise caution.  https://t.co/nIYMTS40tg",NA,"https://t.co/VHYcXWsUHd"
"10","Red tide detected in popular Manatee County beaches, health officials report -  #GoogleAlerts. https   www abcactionnews com news region sarasota manatee red tide detected in popular manatee county beaches health officials report",FALSE,"1860094658220818630","en",NA,"1860094658220818630","everyone",2024-11-22 22:55:00,"534263140",NA,"2012-03-23T12:49:26.000Z","",FALSE,"FloridaIssues","https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg",FALSE,"Florida Issues",0,0,1,0,0,23,1043,11,160326,35,1338,NA,"Red tide detected in popular Manatee County beaches, health officials report - https://t.co/Mx1ZwedSmV #GoogleAlerts",NA,NA
"11","RT @WFLA: RED TIDE DETECTED❌Red tide alert issued for 2 Bradenton beaches  . https   www wfla com news local news manatee county red tide alert issued for 2 bradenton beaches. https   x com WFLA status 1860077797496226171 photo 1",FALSE,"1860078610813714444","en",NA,"1860078610813714444","everyone",2024-11-22 21:51:14,"902224507674517505","Florida, USA","2017-08-28T17:40:59.000Z","Classical music & art.",FALSE,"Fountain6Louise","https://pbs.twimg.com/profile_images/902275899915202561/NIMDUovm_normal.jpg",FALSE,"Louise Fountain",1,0,0,0,0,0,1341,1880,30820,2,26118,NA,"RT @WFLA: RED TIDE DETECTED❌Red tide alert issued for 2 Bradenton beaches https://t.co/y8ffnl0oZC https://t.co/fxNSjoj1uF",NA,NA
"12","RED TIDE DETECTED❌Red tide alert issued for 2 Bradenton beaches  . https   www wfla com news local news manatee county red tide alert issued for 2 bradenton beaches. https   x com WFLA status 1860077797496226171 photo 1",FALSE,"1860077797496226171","en",NA,"1860077797496226171","everyone",2024-11-22 21:48:00,"23820899","Tampa, FL","2009-03-11T20:14:10.000Z","WFLA News Channel 8 is a news leader in Tampa Bay.",FALSE,"WFLA","https://pbs.twimg.com/profile_images/1539812844660719616/2FlxM4l8_normal.jpg",FALSE,"WFLA NEWS",1,1,1,1,0,1952,237838,2245,268564,1793,6960,NA,"RED TIDE DETECTED❌Red tide alert issued for 2 Bradenton beaches https://t.co/y8ffnl0oZC https://t.co/fxNSjoj1uF",NA,"https://t.co/qPxwyiszHG"
